StateCode,BeachID,BeachName,Station ID,StationName,CountyName,Identifier,StartDate,StartTime,ZoneCode,ActivityTypeCode,CharacteristicName,ResultValue,ResultMeasureUnit,ResultComment,ActivityDepthValue,ActivityDepthUnitCode,SampleCollectionMethodIdentifier,SampleCollectionMethodName,FieldGear,AnalysisDateTime,DetectionQuantitationLimit
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-06-20,9:55:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-06-20,10:12:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-06-27,10:14:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-06-27,10:06:00,,,Enterococcus,10,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-06-27,9:38:00,,,Enterococcus,42,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-06-27,9:58:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-06-27,9:40:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-06-27,9:52:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-05,10:35:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-05,10:30:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-05,10:02:00,,,Enterococcus,24200,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-05,10:20:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-05,10:00:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-05,10:16:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-11,10:14:00,,,Enterococcus,42,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-11,10:08:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-11,9:44:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-11,9:58:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-11,9:46:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-11,9:52:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-18,10:18:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-18,10:10:00,,,Enterococcus,10,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-18,9:44:00,,,Enterococcus,20,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-18,10:04:00,,,Enterococcus,10,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-18,9:46:00,,,Enterococcus,20,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-18,9:56:00,,,Enterococcus,20,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-25,10:36:00,,,Enterococcus,1,,,,,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,NEW HAVEN,,2016-07-25,10:30:00,,,Enterococcus,1,,,,,,,,,
