"State","County","BeachID","Beach Name","Weather Station ID"
"NY","NASSAU","NY348173","STEHLI BEACH","KFRG"
"NY","NASSAU","NY380652","THEODORE ROOSEVELT BEACH","KFRG"
"NY","NASSAU","NY401633","BEEKMAN BEACH","KFRG"
"NY","NASSAU","NY437791","VILLAGE CLUB AT SANDS POINT","KLGA"
"NY","NASSAU","NY503509","CENTRE ISLAND - SOUND BEACH","KHPN"
"NY","NASSAU","NY529956","CRESCENT BEACH","KLGA"
"NY","NASSAU","NY558450","PRYBIL BEACH","KHPN"
"NY","NASSAU","NY565139","BAR BEACH","KLGA"
"NY","NASSAU","NY598076","THE CREEK BEACH","KHPN"
"NY","NASSAU","NY623549","MORGAN MEMORIAL BEACH","KLGA"
"NY","NASSAU","NY650888","SOUNDSIDE BEACH","KHPN"
"NY","NASSAU","NY663725","WEST HARBOR MEMORIAL BEACH","KHPN"
"NY","NASSAU","NY729205","RANSOM BEACH","KFRG"
"NY","NASSAU","NY753946","LATTINGTOWN BEACH","KHPN"
"NY","NASSAU","NY854811","MANOR HAVEN BEACH","KLGA"
"NY","NASSAU","NY905795","TAPPEN BEACH","KLGA"
"NY","NASSAU","NY963988","CENTRE ISLAND - BAY BEACH","KHPN"
"NY","NASSAU","NY972763","HEMPSTEAD HARBOR BEACH PARK","KLGA"
"NY","NASSAU","NY975269","PIPING ROCK BEACH","KFRG"
"NY","NASSAU","NY979731","SEA CLIFF BEACH","KLGA"
"NY","QUEENS","NY429358","WHITESTONE BOOSTER CIVIC ASSOCIATION","KLGA"
"NY","QUEENS","NY888426","DOUGLASTON HOMEOWNERS ASSOCIATION","KLGA"
"NY","SUFFOLK","NY106799","VALLEY GROVE BEACH","KFRG"
"NY","SUFFOLK","NY109767","SOUTHOLD BEACH","KHTO"
"NY","SUFFOLK","NY113506","SHOREHAM BEACH","KHWV"
"NY","SUFFOLK","NY133112","CRAB MEADOW BEACH","KFRG"
"NY","SUFFOLK","NY134025","EAGLE DOCK COMMUNITY BEACH","KFRG"
"NY","SUFFOLK","NY159807","MCCABE'S BEACH","KHTO"
"NY","SUFFOLK","NY168522","GOLD STAR BATTALION BEACH","KFRG"
"NY","SUFFOLK","NY171464","LLOYD HARBOR VILLAGE PARK","KFRG"
"NY","SUFFOLK","NY186000","ASHAROKEN BEACH","KFRG"
"NY","SUFFOLK","NY238713","CEDAR BEACH - EAST (MT. SINAI)","KHWV"
"NY","SUFFOLK","NY260692","NATHAN HALE BEACH CLUB","KFRG"
"NY","SUFFOLK","NY267977","CAMP BAITING HOLLOW","KHWV"
"NY","SUFFOLK","NY289627","STONY BROOK YACHT CLUB","KISP"
"NY","SUFFOLK","NY301679","HUNTINGTON BEACH COMMUNITY ASSOC.","KFRG"
"NY","SUFFOLK","NY339648","BELLE TERRE BEACH","KISP"
"NY","SUFFOLK","NY342581","SOUND BEACH POA - EAST","KHWV"
"NY","SUFFOLK","NY344249","FRIENDSHIP DRIVE BEACH","KHWV"
"NY","SUFFOLK","NY370065","HEAD OF THE BAY CLUB","KFRG"
"NY","SUFFOLK","NY375131","BAYVIEW BEACH","KISP"
"NY","SUFFOLK","NY382589","SHORT BEACH","KISP"
"NY","SUFFOLK","NY398255","PORT JEFFERSON BEACH - EAST","KISP"
"NY","SUFFOLK","NY404494","LONG BEACH","KISP"
"NY","SUFFOLK","NY406101","FLEETS COVE BEACH","KFRG"
"NY","SUFFOLK","NY451928","TERRACES ON THE SOUND","KHWV"
"NY","SUFFOLK","NY456843","MILLER BEACH SURF CLUB","KHWV"
"NY","SUFFOLK","NY470082","BAYBERRY COVE BEACH","KISP"
"NY","SUFFOLK","NY471816","CALLAHAN'S BEACH","KISP"
"NY","SUFFOLK","NY477475","PORT JEFFERSON BEACH - WEST","KISP"
"NY","SUFFOLK","NY477769","HOBART BEACH - BAY","KFRG"
"NY","SUFFOLK","NY498489","SHOREHAM VILLAGE BEACH","KHWV"
"NY","SUFFOLK","NY504437","COLD SPRING HARBOR BEACH CLUB","KFRG"
"NY","SUFFOLK","NY553462","STEERS BEACH","KFRG"
"NY","SUFFOLK","NY558605","DOROTHY P. FLINT CAMP","KHWV"
"NY","SUFFOLK","NY563977","BEECH ROAD BEACH","KHWV"
"NY","SUFFOLK","NY571635","WINCOMA BEACH","KFRG"
"NY","SUFFOLK","NY572777","SOUND VIEW BEACH ASSOCIATION","KISP"
"NY","SUFFOLK","NY574303","REEVES BEACH","KHWV"
"NY","SUFFOLK","NY595159","KENNEY'S BEACH","KHTO"
"NY","SUFFOLK","NY603914","WILDWOOD STATE PARK BEACH","KHWV"
"NY","SUFFOLK","NY612297","MILLER PLACE PARK BEACH","KHWV"
"NY","SUFFOLK","NY612795","SCOTTS BEACH","KHWV"
"NY","SUFFOLK","NY615322","STONY BROOK BEACH","KISP"
