"State","County","BeachID","Beach Name","Year","Sample Count"
"CT","FAIRFIELD","CT085278","EAST (COVE ISLAND) BEACH","2013","19"
"CT","FAIRFIELD","CT085278","EAST (COVE ISLAND) BEACH","2014","15"
"CT","FAIRFIELD","CT085278","EAST (COVE ISLAND) BEACH","2015","0"
"CT","FAIRFIELD","CT096148","GREAT CAPTAIN'S ISLAND BEACH","2003","0"
"CT","FAIRFIELD","CT096148","GREAT CAPTAIN'S ISLAND BEACH","2004","0"
"CT","FAIRFIELD","CT096148","GREAT CAPTAIN'S ISLAND BEACH","2005","0"
"CT","FAIRFIELD","CT096148","GREAT CAPTAIN'S ISLAND BEACH","2006","0"
"CT","FAIRFIELD","CT096148","GREAT CAPTAIN'S ISLAND BEACH","2007","0"
"CT","FAIRFIELD","CT096148","GREAT CAPTAIN'S ISLAND BEACH","2008","7"
"CT","FAIRFIELD","CT096148","GREAT CAPTAIN'S ISLAND BEACH","2009","10"
"CT","FAIRFIELD","CT096148","GREAT CAPTAIN'S ISLAND BEACH","2010","11"
"CT","FAIRFIELD","CT096148","GREAT CAPTAIN'S ISLAND BEACH","2011","7"
"CT","FAIRFIELD","CT096148","GREAT CAPTAIN'S ISLAND BEACH","2012","2"
"CT","FAIRFIELD","CT096148","GREAT CAPTAIN'S ISLAND BEACH","2013","0"
"CT","FAIRFIELD","CT096148","GREAT CAPTAIN'S ISLAND BEACH","2014","5"
"CT","FAIRFIELD","CT096148","GREAT CAPTAIN'S ISLAND BEACH","2015","0"
"CT","FAIRFIELD","CT101236","ISLAND BEACH","2003","0"
"CT","FAIRFIELD","CT101236","ISLAND BEACH","2004","0"
"CT","FAIRFIELD","CT101236","ISLAND BEACH","2005","0"
"CT","FAIRFIELD","CT101236","ISLAND BEACH","2006","0"
"CT","FAIRFIELD","CT101236","ISLAND BEACH","2007","0"
"CT","FAIRFIELD","CT101236","ISLAND BEACH","2008","12"
"CT","FAIRFIELD","CT101236","ISLAND BEACH","2009","10"
"CT","FAIRFIELD","CT101236","ISLAND BEACH","2010","11"
"CT","FAIRFIELD","CT101236","ISLAND BEACH","2011","12"
"CT","FAIRFIELD","CT101236","ISLAND BEACH","2012","10"
"CT","FAIRFIELD","CT101236","ISLAND BEACH","2013","0"
"CT","FAIRFIELD","CT101236","ISLAND BEACH","2014","8"
"CT","FAIRFIELD","CT101236","ISLAND BEACH","2015","0"
"CT","FAIRFIELD","CT135112","COMPO BEACH","2003","0"
"CT","FAIRFIELD","CT135112","COMPO BEACH","2004","0"
"CT","FAIRFIELD","CT135112","COMPO BEACH","2005","0"
"CT","FAIRFIELD","CT135112","COMPO BEACH","2006","0"
"CT","FAIRFIELD","CT135112","COMPO BEACH","2007","0"
"CT","FAIRFIELD","CT135112","COMPO BEACH","2008","11"
"CT","FAIRFIELD","CT135112","COMPO BEACH","2009","34"
"CT","FAIRFIELD","CT135112","COMPO BEACH","2010","33"
"CT","FAIRFIELD","CT135112","COMPO BEACH","2011","37"
"CT","FAIRFIELD","CT135112","COMPO BEACH","2012","28"
"CT","FAIRFIELD","CT135112","COMPO BEACH","2013","26"
"CT","FAIRFIELD","CT135112","COMPO BEACH","2014","19"
"CT","FAIRFIELD","CT135112","COMPO BEACH","2015","0"
"CT","FAIRFIELD","CT200291","ROWAYTON BEACH","2003","0"
"CT","FAIRFIELD","CT200291","ROWAYTON BEACH","2004","0"
"CT","FAIRFIELD","CT200291","ROWAYTON BEACH","2005","0"
"CT","FAIRFIELD","CT200291","ROWAYTON BEACH","2006","0"
"CT","FAIRFIELD","CT200291","ROWAYTON BEACH","2007","0"
"CT","FAIRFIELD","CT200291","ROWAYTON BEACH","2008","0"
