State,County,BeachID,BeachName,OwnAccess ,BeachLength,BeachTier,StartLatitude,StartLongitude,EndLatitude,EndLongitude
CT,NEW HAVEN,CT409818,CLARK AVENUE BEACH,Public/Public,0.042,1,41.25664,-72.85075,41.25617,-72.85114
CT,NEW HAVEN,CT473427,ALTSCHULER BEACH,Public/Public,0.087,1,41.25665,-72.94735,41.25615,-72.94877
CT,NEW HAVEN,CT555601,MORSE BEACH,Public/Public,0.068,1,41.26075,-72.93378,41.26047,-72.935
CT,NEW HAVEN,CT597147,SEABLUFF BEACH,Public/Public,0.159,1,41.2522,-72.96002,41.25073,-72.9622
CT,NEW HAVEN,CT760987,LIGHTHOUSE POINT BEACH,Public/Public,0.137,2,41.24719,-72.90086,41.24792,-72.90319
CT,NEW HAVEN,CT816057,OAK STREET B BEACH,Public/Public,0.088,1,41.25613,-72.94888,41.25582,-72.9506
CT,NEW HAVEN,CT857174,WALNUT BEACH,Public/Public,0.357,1,41.19675,-73.07389,41.19428,-73.07961
CT,NEW HAVEN,CT910056,GULF BEACH,Public/Public,0.217,1,41.20875,-73.04467,41.20992,-73.048
CT,NEW HAVEN,CT914597,ROCK STREET BEACH,Public/Public,0.066,1,41.25538,-72.95237,41.25517,-72.95353
CT,NEW HAVEN,CT946887,FORT HALE PARK BEACH,Public/Public,0.07,1,41.26826,-72.90115,41.2689,-72.9022
CT,NEW HAVEN,CT964700,HAMMONASSET BEACH STATE PARK BEACH,Public/Public,1.926,1,41.24911,-72.54514,41.26794,-72.57006
CT,NEW HAVEN,CT974464,ANCHOR BEACH (MERWIN POINT) #1,Public/Public,0.048,1,41.22347,-72.995,41.22347,-72.99589
CT,NEW LONDON,CT079164,PLEASURE BEACH,Public/Public,0.124,1,41.30661,-72.14592,41.30783,-72.14764
CT,NEW LONDON,CT103938,HOLE-IN-THE-WALL BEACH,Public/Public,0.112,1,41.32114,-72.19547,41.32002,-72.19692
CT,NEW LONDON,CT110195,NOANK DOCK,Public/Public,0.007,1,41.32522,-71.98456,41.32517,-71.98464
CT,NEW LONDON,CT120292,MCCOOK POINT BEACH,Public/Public,0.118,1,41.31794,-72.19783,41.31694,-72.19958
CT,NEW LONDON,CT207829,ROCKY NECK STATE PARK BEACH,Public/Public,0.372,3,41.3005,-72.23767,41.29922,-72.24442
CT,NEW LONDON,CT282823,WHITE SANDS BEACH,Public/Public,0.15,1,41.27986,-72.30286,41.27978,-72.30564
CT,NEW LONDON,CT340493,DUBOIS BEACH,Private/Public,0.023,3,41.32781,-71.906,41.32814,-71.90619
CT,NEW LONDON,CT407959,OCEAN BEACH PARK,Public/Public,0.288,1,41.30836,-72.09767,41.30536,-72.10092
CT,NEW LONDON,CT434367,ESKER POINT BEACH,Public/Public,0.02,1,41.32092,-71.99903,41.32075,-71.99931
CT,NEW LONDON,CT493837,SOUNDVIEW BEACH,Public/Public,0.206,1,41.28408,-72.27683,41.28331,-72.2805
CT,NEW LONDON,CT496693,GREEN HARBOR BEACH,Public/Public,0.075,1,41.33781,-72.09969,41.33678,-72.09981
CT,NEW LONDON,CT685151,WATERFORD TOWN BEACH,Public/Public,0.326,1,41.30422,-72.10206,41.30325,-72.10811
CT,NEW LONDON,CT705857,EASTERN POINT BEACH,Public/Public,0.13,1,41.31994,-72.07136,41.32003,-72.07367
NY,BRONX,NY176548,WEST FORDHAM STREET ASSOCIATION,/,0.019,1,40.846257,-73.790845,40.846257,-73.790845
NY,BRONX,NY182382,TRINITY DANISH YOUNG PEOPLE'S SOCIETY,/,0.017,1,40.832412,-73.815628,40.832412,-73.815628
NY,BRONX,NY300205,LOCUST POINT YACHT CLUB,/,0.017,3,40.812875,-73.801762,40.812875,-73.801762
NY,BRONX,NY388768,WHITE CROSS FISHING CLUB,/,0.018,1,40.831681,-73.81522,40.831681,-73.81522
NY,BRONX,NY417062,SCHUYLER HILL CIVIC ASSOCIATION,/,0.028,1,40.8123,-73.8051,40.8123,-73.8051
NY,BRONX,NY549702,MORRIS YACHT AND BEACH CLUB,/,0.018,1,40.837442,-73.785027,40.837442,-73.785027
NY,BRONX,NY582799,DANISH AMERICAN BEACH CLUB,/,0.019,1,40.829779,-73.814006,40.829779,-73.814006
NY,BRONX,NY617089,AMERICAN TURNERS,/,0.02,1,40.831324,-73.81507,40.831324,-73.81507
NY,BRONX,NY817429,ORCHARD BEACH,/,1,1,40.870068,-73.784459,40.870068,-73.784459
NY,BRONX,NY818686,MANHEM BEACH CLUB,/,0.019,1,40.829255,-73.813827,40.829255,-73.813827
NY,NASSAU,NY159820,INC. VILLAGE OF LAUREL HOLLOW,/,0.08,1,40.8745,-73.4835,40.8745,-73.4835
NY,NASSAU,NY348173,STEHLI BEACH,/,0.483,2,40.9087,-73.593,40.9087,-73.593
NY,NASSAU,NY380652,THEODORE ROOSEVELT BEACH,/,0.421,1,40.8768,-73.5384,40.8768,-73.5384
NY,NASSAU,NY401633,BEEKMAN BEACH,/,0.154,3,40.8764,-73.54,40.8764,-73.54
NY,NASSAU,NY437791,VILLAGE CLUB AT SANDS POINT,/,0.35,3,40.8492,-73.672,40.8492,-73.672
NY,NASSAU,NY454907,ISLAND PARK BEACH,/,0.116,1,40.6071,-73.657,40.6071,-73.657
NY,NASSAU,NY477589,MERRICK ESTATES CIVIC ASSOCIATION,/,0.043,2,40.645,-73.5449,40.645,-73.5449
NY,NASSAU,NY482754,PHILIP HEALEY,/,0.089,1,40.6505,-73.4852,40.6505,-73.4852
NY,NASSAU,NY503509,CENTRE ISLAND - SOUND BEACH,/,0.626,2,40.9121,-73.5369,40.9121,-73.5369
NY,NASSAU,NY529956,CRESCENT BEACH,/,0.122,2,40.8824,-73.6484,40.8824,-73.6484
NY,NASSAU,NY558450,PRYBIL BEACH,/,0.46,2,40.9009,-73.6298,40.9009,-73.6298
NY,NASSAU,NY565139,BAR BEACH,/,0.343,1,40.83,-73.6556,40.83,-73.6556
NY,NASSAU,NY585012,HEWLETT BEACH,/,0.211,1,40.6289,-73.6758,40.6289,-73.6758
NY,NASSAU,NY598076,THE CREEK BEACH,/,0.38,2,40.9023,-73.603,40.9023,-73.603
NY,NASSAU,NY623549,MORGAN MEMORIAL BEACH,/,0.239,1,40.8631,-73.6542,40.8631,-73.6542
NY,NASSAU,NY650888,SOUNDSIDE BEACH,/,0.071,2,40.9101,-73.5431,40.9101,-73.5431
NY,NASSAU,NY663725,WEST HARBOR MEMORIAL BEACH,/,0.112,2,40.9039,-73.5428,40.9039,-73.5428
NY,NASSAU,NY729205,RANSOM BEACH,/,0.229,2,40.9092,-73.5837,40.9092,-73.5837
NY,NASSAU,NY753946,LATTINGTOWN BEACH,/,0.21,2,40.8985,-73.6215,40.8985,-73.6215
NY,NASSAU,NY854811,MANOR HAVEN BEACH,/,0.126,2,40.8379,-73.7158,40.8379,-73.7158
NY,NASSAU,NY905795,TAPPEN BEACH,/,0.203,1,40.835,-73.6527,40.835,-73.6527
NY,NASSAU,NY963988,CENTRE ISLAND - BAY BEACH,/,0.509,2,40.9086,-73.534,40.9086,-73.534
NY,NASSAU,NY967019,BILTMORE BEACH,/,0.055,1,40.6569,-73.4695,40.6569,-73.4695
NY,NASSAU,NY972763,HEMPSTEAD HARBOR BEACH PARK,/,0.412,1,40.83,-73.6556,40.83,-73.6556
