StateCode,BeachID,BeachName,Station ID,StationName,CountyName,Identifier,StartDate,StartTime,ZoneCode,ActivityTypeCode,CharacteristicName,ResultValue,DetectionQuantitationLimit,,,,,,,,
NY,NY106799,VALLEY GROVE BEACH,NY106799-01,,SUFFOLK,,2016-06-16 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,4,~~,,,,,,,,
NY,NY106799,VALLEY GROVE BEACH,NY106799-01,,SUFFOLK,,2016-06-14 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,0,Lower Quantitation Limit~4~#/100ml,,,,,,,,
NY,NY106799,VALLEY GROVE BEACH,NY106799-01,,SUFFOLK,,2016-06-09 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,8,~~,,,,,,,,
NY,NY106799,VALLEY GROVE BEACH,NY106799-01,,SUFFOLK,,2016-06-08 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,80,~~,,,,,,,,
NY,NY106799,VALLEY GROVE BEACH,NY106799-01,,SUFFOLK,,2016-06-06 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,144,~~,,,,,,,,
NY,NY106799,VALLEY GROVE BEACH,NY106799-01,,SUFFOLK,,2016-05-26 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,0,Lower Quantitation Limit~4~#/100ml,,,,,,,,
NY,NY106799,VALLEY GROVE BEACH,NY106799-01,,SUFFOLK,,2016-05-19 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,0,Lower Quantitation Limit~4~#/100ml,,,,,,,,
NY,NY106799,VALLEY GROVE BEACH,NY106799-01,,SUFFOLK,,2016-05-10 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,0,Lower Quantitation Limit~4~#/100ml,,,,,,,,
NY,NY106799,VALLEY GROVE BEACH,NY106799-01,,SUFFOLK,,2016-05-04 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,24,~~,,,,,,,,
NY,NY109767,SOUTHOLD BEACH,NY109767-01,,SUFFOLK,,2016-09-12 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,0,Lower Quantitation Limit~4~#/100ml,,,,,,,,
NY,NY109767,SOUTHOLD BEACH,NY109767-01,,SUFFOLK,,2016-09-06 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,216,~~,,,,,,,,
NY,NY109767,SOUTHOLD BEACH,NY109767-01,,SUFFOLK,,2016-08-23 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,28,~~,,,,,,,,
NY,NY109767,SOUTHOLD BEACH,NY109767-01,,SUFFOLK,,2016-08-15 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,4,~~,,,,,,,,
NY,NY109767,SOUTHOLD BEACH,NY109767-01,,SUFFOLK,,2016-08-10 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,0,Lower Quantitation Limit~4~#/100ml,,,,,,,,
NY,NY109767,SOUTHOLD BEACH,NY109767-01,,SUFFOLK,,2016-08-08 00:00:00,00:00:00,,21NYBCH~Routine,Enterococcus,800,~~,,,,,,,,
